pos	item_1	item_2	item_3	item_4	best	worst	explanation	model
Noun	locomotive	lime	polymer	pin	pin	polymer	3 , 2	gpt-4
Noun	butterfat	authentication	pimple	soapbox	pimple	authentication	2 , 1	gpt-4
Noun	tyrant	amputation	dissociation	shading	amputation	tyrant	1 , 0	gpt-4
Noun	amphetamine	widower	decompression	inclement	decompression	amphetamine	2 , 0	gpt-4
Noun	harpist	trivia	finesse	hardwood	harpist	trivia	0 , 1	gpt-4
Noun	sunflower	sweatshirt	grandchild	hydration	grandchild	hydration	2 , 3	gpt-4
Noun	halftrack	fishmeal	crocodile	cache	fishmeal	cache	1 , 3	gpt-4
Noun	ugliness	scientologist	friend	ductwork	scientologist	friend	1 , 2	gpt-4
Noun	newsman	jubilation	padlock	memento	padlock	jubilation	2 , 1	gpt-4
Noun	anticommunist	sin	degree	gunpowder	anticommunist	degree	0 , 2	gpt-4
Noun	museum	occultist	subcompact	revolt	occultist	museum	1 , 0	gpt-4
Noun	decree	cornerstone	workroom	backscratcher	backscratcher	decree	3 , 0	gpt-4
Noun	phraseology	resource	demos	admiral	admiral	resource	3 , 1	gpt-4
Noun	tradesman	gentlefolk	horseshoe	repetition	horseshoe	tradesman	2 , 0	gpt-4
Noun	stuntman	inclination	dispassion	godchild	stuntman	inclination	0 , 1	gpt-4
Noun	decorator	appetizer	shutout	defeatist	shutout	decorator	2 , 0	gpt-4
Noun	oppression	drought	reminiscence	stepsister	stepsister	oppression	3 , 0	gpt-4
Noun	warbler	theft	caster	shears	warbler	theft	0 , 1	gpt-4
Noun	righteousness	runoff	deformation	gawkiness	runoff	righteousness	1 , 0	gpt-4
Noun	firefighter	grandbaby	finance	modularity	grandbaby	finance	1 , 2	gpt-4
Noun	subject	traditionalism	conversationalist	cavern	conversationalist	subject	2 , 0	gpt-4
Noun	biogenetics	valve	communion	ground	valve	ground	1 , 3	gpt-4
Noun	filings	exception	cording	handclasp	handclasp	exception	3 , 1	gpt-4
Noun	sheepdog	stinkweed	handmaid	toymaker	toymaker	sheepdog	3 , 0	gpt-4
Noun	petitioner	pita	evacuation	modeling	pita	petitioner	1 , 0	gpt-4
Noun	permafrost	unit	brainchild	irresistibility	brainchild	unit	2 , 1	gpt-4
Noun	submerse	seizure	bouncer	reign	seizure	submerse	1 , 0	gpt-4
Noun	atomizer	overexposure	country	espionage	atomizer	country	0 , 2	gpt-4
Noun	telecommunication	cleaner	suspicion	urethane	urethane	telecommunication	3 , 0	gpt-4
Noun	interrogation	conformation	policyholder	playmate	policyholder	conformation	2 , 1	gpt-4
Noun	scrambler	inconsistency	degeneracy	kerchief	scrambler	inconsistency	0 , 1	gpt-4
Noun	thriller	romancer	denomination	calves	calves	denomination	3 , 2	gpt-4
Noun	milestone	triangulation	bullet	peep	triangulation	milestone	1 , 0	gpt-4
Noun	basin	heartburn	safeness	plagiarism	plagiarism	safeness	3 , 2	gpt-4
Noun	taps	spearfish	profession	ear	spearfish	profession	1 , 2	gpt-4
Noun	newspaper	editor	triglyceride	disrobement	triglyceride	newspaper	2 , 0	gpt-4
Noun	statuette	contrast	adjective	creation	statuette	adjective	0 , 2	gpt-4
Noun	ornamentation	jumpsuit	hairline	veranda	hairline	ornamentation	2 , 0	gpt-4
Noun	pedicurist	encampment	customer	classmate	pedicurist	customer	0 , 2	gpt-4
Noun	tidiness	moonrise	spades	termite	termite	spades	3 , 2	gpt-4
Noun	antipathy	croquet	doings	boiler	croquet	doings	1 , 2	gpt-4
Noun	cheerfulness	persimmon	leisure	junkyard	persimmon	leisure	1 , 2	gpt-4
Noun	maize	tailgate	furlough	minesweeper	maize	minesweeper	0 , 3	gpt-4
Noun	conversation	arsonist	airspace	bowl	arsonist	conversation	1 , 0	gpt-4
Noun	swine	sextet	grits	jasmine	sextet	swine	1 , 0	gpt-4
Noun	girth	camp	ingenuity	pewter	pewter	camp	3 , 1	gpt-4
Noun	neutron	shawl	gadget	brownstone	brownstone	gadget	3 , 2	gpt-4
Noun	cowardice	foreman	hedge	incantation	incantation	cowardice	3 , 0	gpt-4
Noun	justice	knoll	greed	quality	knoll	quality	1 , 3	gpt-4
Noun	baggie	gumption	snorkeler	geezer	snorkeler	gumption	2 , 1	gpt-4
Noun	monogamy	bank	odor	guiltiness	monogamy	odor	0 , 2	gpt-4
Noun	enhancement	stenographer	mathematician	mucous	stenographer	enhancement	1 , 0	gpt-4
Noun	psychophysiology	matchmaking	orientation	warfare	matchmaking	orientation	1 , 2	gpt-4
Noun	scrotum	impressionism	dispersal	incident	impressionism	dispersal	1 , 2	gpt-4
Noun	ache	pettiness	crystal	noncombatant	crystal	ache	2 , 0	gpt-4
Noun	poet	waveform	genocide	vegetarian	genocide	poet	2 , 0	gpt-4
Noun	compilation	brick	teakettle	brass	teakettle	compilation	2 , 0	gpt-4
Noun	millstone	imbecile	sustainer	increment	millstone	sustainer	0 , 2	gpt-4
Noun	mankind	elimination	dash	holiday	elimination	mankind	1 , 0	gpt-4
Noun	breadfruit	repeater	millennia	score	breadfruit	millennia	0 , 2	gpt-4
Noun	creamer	condemnation	maturation	horticulturist	horticulturist	maturation	3 , 2	gpt-4
Noun	guard	weed	earner	scurvy	scurvy	earner	3 , 2	gpt-4
Noun	compounder	trucker	mallet	footlocker	mallet	trucker	2 , 1	gpt-4
Noun	riverfront	fishing	thermostat	roof	thermostat	fishing	2 , 1	gpt-4
Noun	planter	estrangement	bleach	microbiologist	microbiologist	estrangement	3 , 1	gpt-4
Noun	earache	contraption	extent	schoolroom	earache	extent	0 , 2	gpt-4
Noun	shrapnel	nudism	communication	chasm	shrapnel	communication	0 , 2	gpt-4
Noun	devastation	orchestra	quest	reacquisition	orchestra	devastation	1 , 0	gpt-4
Noun	productivity	chloroform	prospectus	brainwave	chloroform	productivity	1 , 0	gpt-4
Noun	aquarium	centerpiece	tiebreaker	wretch	tiebreaker	centerpiece	2 , 1	gpt-4
Noun	talent	pinhead	familiarization	hypotheses	pinhead	talent	1 , 0	gpt-4
Noun	dunghill	antibody	sandman	parsnip	antibody	dunghill	1 , 0	gpt-4
Noun	side	matriarch	volunteerism	pansy	volunteerism	side	2 , 0	gpt-4
Noun	bellyache	broiler	garb	shrubs	broiler	garb	1 , 2	gpt-4
Noun	decease	satin	placard	avoider	satin	decease	1 , 0	gpt-4
Noun	suppresser	manifold	peeler	beverage	peeler	manifold	2 , 1	gpt-4
Noun	bonding	ropey	crawlers	tuner	crawlers	bonding	2 , 0	gpt-4
Noun	bobcat	newsletter	couture	iceberg	bobcat	newsletter	0 , 1	gpt-4
Noun	gunplay	boilerplate	onlooker	launderer	launderer	boilerplate	3 , 1	gpt-4
Noun	bearskin	evolutionist	playact	chronograph	chronograph	playact	3 , 2	gpt-4
Noun	coordination	subtitle	hemoglobin	unbefitting	hemoglobin	coordination	2 , 0	gpt-4
Noun	youth	teat	nonattendance	shimmy	nonattendance	youth	2 , 0	gpt-4
Noun	commercialization	jammer	exemption	proctology	proctology	commercialization	3 , 0	gpt-4
Noun	aptitude	scrabble	controversy	spareribs	scrabble	aptitude	1 , 0	gpt-4
Noun	rants	rap	cue	waffle	rants	cue	0 , 2	gpt-4
Noun	marcher	complement	bible	callback	bible	complement	2 , 1	gpt-4
Noun	scatterbrain	chronometer	constable	ultimatum	chronometer	scatterbrain	1 , 0	gpt-4
Noun	mongoose	tingle	peppercorn	impropriety	peppercorn	impropriety	2 , 3	gpt-4
Noun	reservoir	distress	polisher	livelong	polisher	distress	2 , 1	gpt-4
Noun	toots	petition	checkbook	wall	checkbook	wall	2 , 3	gpt-4
Noun	contrary	nurse	seductiveness	secretary	seductiveness	contrary	2 , 0	gpt-4
Noun	torturer	intonation	baldness	sidebar	torturer	sidebar	0 , 3	gpt-4
Noun	permanency	encouragement	liar	causeway	liar	permanency	2 , 0	gpt-4
Noun	pruning	porcelain	bribery	particulars	particulars	pruning	3 , 0	gpt-4
Noun	sassafras	bailiff	southeast	switchblade	sassafras	southeast	0 , 2	gpt-4
Noun	decoder	showcasing	detergent	supplier	detergent	supplier	2 , 3	gpt-4
Noun	nymph	cashmere	autism	stockyard	cashmere	stockyard	1 , 3	gpt-4
Noun	undercoat	clipper	northbound	congratulation	northbound	undercoat	2 , 0	gpt-4
Noun	tenor	effort	editing	chief	editing	effort	2 , 1	gpt-4
Noun	streetcar	underachievement	clang	cantina	clang	underachievement	2 , 1	gpt-4
Noun	retune	quizmaster	polytheism	pastrami	pastrami	retune	3 , 0	gpt-4
Noun	poultry	kaleidoscope	bridegroom	corruption	kaleidoscope	poultry	1 , 0	gpt-4
Noun	beekeeper	wiener	jeering	hypothesis	beekeeper	hypothesis	0 , 3	gpt-4
Noun	jarring	volleyball	waltz	roosters	waltz	jarring	2 , 0	gpt-4
Noun	alimony	tint	approximation	jackass	jackass	approximation	3 , 2	gpt-4
Noun	tempo	stallion	suicide	enquiry	stallion	tempo	1 , 0	gpt-4
Noun	bodybuilding	procreation	signalman	elation	signalman	bodybuilding	2 , 0	gpt-4
Noun	tanker	extremism	burr	swamp	burr	extremism	2 , 1	gpt-4
Noun	pacifist	enchanter	perspective	galaxy	enchanter	perspective	1 , 2	gpt-4
Noun	radon	picture	tombstone	exuberance	tombstone	picture	2 , 1	gpt-4
Noun	cartography	tantrum	plaintiff	aromatherapy	plaintiff	cartography	2 , 0	gpt-4
Noun	keyboardist	seat	subpar	vat	keyboardist	vat	0 , 3	gpt-4
Noun	backer	knockdown	turnip	pane	turnip	backer	2 , 0	gpt-4
Noun	subsistence	shutdown	nonperformance	sweetheart	sweetheart	subsistence	3 , 0	gpt-4
Noun	gully	proportion	viscosity	amp	amp	proportion	3 , 1	gpt-4
Noun	suburb	veal	chill	dietitian	dietitian	chill	3 , 2	gpt-4
Noun	league	realm	provider	balloon	provider	realm	2 , 1	gpt-4
Noun	biosynthesis	handful	commemoration	codex	commemoration	handful	2 , 1	gpt-4
Noun	masque	breakout	pretentiousness	moneymaker	breakout	masque	1 , 0	gpt-4
Noun	fingerboard	clubhouse	choice	feminism	fingerboard	choice	0 , 2	gpt-4
Noun	persecution	trowel	inconvenience	sexism	sexism	persecution	3 , 0	gpt-4
Noun	plumber	kleptomaniac	occult	paperweight	kleptomaniac	occult	1 , 2	gpt-4
Noun	gloss	overheads	drudgery	colloquialism	colloquialism	gloss	3 , 0	gpt-4
Noun	chlorophyll	dryer	algebra	hybridization	chlorophyll	hybridization	0 , 3	gpt-4
Noun	facility	gazette	imperfection	nullification	nullification	facility	3 , 0	gpt-4
Noun	sailorman	fretfulness	juice	latency	sailorman	fretfulness	0 , 1	gpt-4
Noun	disinformation	era	potty	ungodliness	potty	era	2 , 1	gpt-4
Noun	dread	dissolution	poorhouse	epidural	poorhouse	dread	2 , 0	gpt-4
Noun	crispiness	quilter	contentment	whaler	quilter	contentment	1 , 2	gpt-4
Noun	forevermore	placenta	designation	scariness	placenta	designation	1 , 2	gpt-4
Noun	futility	windbreak	censorship	center	windbreak	center	1 , 3	gpt-4
Noun	hairstylist	runner	cannibalism	lieutenancy	cannibalism	runner	2 , 1	gpt-4
Noun	process	gig	couple	architect	architect	process	3 , 0	gpt-4
Noun	puncture	organist	downdraft	rationale	organist	rationale	1 , 3	gpt-4
Noun	bisque	implant	prize	punch	implant	prize	1 , 2	gpt-4
Noun	roofer	falsehood	redemption	doorway	roofer	falsehood	0 , 1	gpt-4
Noun	brontosaurus	stoutness	walkup	builder	brontosaurus	builder	0 , 3	gpt-4
Noun	subsoil	trademark	teaspoonful	proclamation	teaspoonful	subsoil	2 , 0	gpt-4
Noun	inseam	nose	paradigm	thriftiness	inseam	paradigm	0 , 2	gpt-4
Noun	activist	graves	handclap	clarinet	handclap	activist	2 , 0	gpt-4
Noun	predictor	spelling	bakery	rental	bakery	predictor	2 , 0	gpt-4
Noun	logroller	inaccuracy	advert	gynecologist	gynecologist	advert	3 , 2	gpt-4
Noun	aquatics	surgery	titan	paperclip	paperclip	aquatics	3 , 0	gpt-4
Noun	pontoon	hemorrhage	scorcher	blurriness	hemorrhage	blurriness	1 , 3	gpt-4
Noun	debrief	study	festiveness	diploma	diploma	study	3 , 1	gpt-4
Noun	psychodrama	cuss	snipe	glory	psychodrama	glory	0 , 3	gpt-4
Noun	tradeoff	convoy	semen	blip	semen	tradeoff	2 , 0	gpt-4
Noun	elegance	mover	withdrawal	rucksack	rucksack	withdrawal	3 , 2	gpt-4
Noun	poison	metabolite	godliness	snicker	snicker	godliness	3 , 2	gpt-4
Noun	volumes	spreadsheet	pretzel	oscilloscope	oscilloscope	volumes	3 , 0	gpt-4
Noun	partner	tutor	staircase	inefficiency	tutor	partner	1 , 0	gpt-4
Noun	musketeer	hypnotist	vogue	fixture	hypnotist	vogue	1 , 2	gpt-4
Noun	sob	negotiator	cowpoke	foxhunting	foxhunting	negotiator	3 , 1	gpt-4
Noun	noose	pier	idea	forefather	noose	idea	0 , 2	gpt-4
Noun	whiskey	location	companion	calligraphy	calligraphy	location	3 , 1	gpt-4
Noun	vagrancy	degeneration	incline	ukulele	ukulele	incline	3 , 2	gpt-4
Noun	deformity	fishmonger	debut	circle	fishmonger	debut	1 , 2	gpt-4
Noun	assessor	affection	beam	transgression	assessor	affection	0 , 1	gpt-4
Noun	cabana	redcoat	bedfellow	lodge	redcoat	cabana	1 , 0	gpt-4
Noun	overstimulation	hatchway	asker	afterworld	afterworld	asker	3 , 2	gpt-4
Noun	drowsiness	time	psychoses	pinnacle	pinnacle	time	3 , 1	gpt-4
Noun	reactivation	puffball	belief	shuteye	puffball	belief	1 , 2	gpt-4
Noun	hairspray	powwow	fetish	growth	hairspray	growth	0 , 3	gpt-4
Noun	sibling	firelight	gallon	washrag	firelight	sibling	1 , 0	gpt-4
Noun	sidecar	median	campfire	narcissism	narcissism	median	3 , 1	gpt-4
Noun	disbar	jumbo	kidnapper	beta	kidnapper	disbar	2 , 0	gpt-4
Noun	intelligence	speck	weasel	shepherd	shepherd	intelligence	3 , 0	gpt-4
Noun	fiber	marbling	dagger	turnoff	marbling	fiber	1 , 0	gpt-4
Noun	marble	concussion	artillery	ottoman	concussion	marble	1 , 0	gpt-4
Noun	spoonful	sigh	assimilation	mononucleosis	mononucleosis	assimilation	3 , 2	gpt-4
Noun	teapot	impediment	puss	psalm	teapot	impediment	0 , 1	gpt-4
Noun	mom	cousin	snoozer	mice	snoozer	mom	2 , 0	gpt-4
Noun	manufacturing	requester	computer	sensuality	requester	manufacturing	1 , 0	gpt-4
Noun	ringtail	birthday	student	soil	ringtail	soil	0 , 3	gpt-4
Noun	debate	brawl	screen	affidavit	affidavit	screen	3 , 2	gpt-4
Noun	denaturalization	debutante	gumminess	lamp	denaturalization	lamp	0 , 3	gpt-4
Noun	sheik	jalapeno	imposter	enhancer	jalapeno	enhancer	1 , 3	gpt-4
Noun	serpent	preserver	overdrive	account	overdrive	preserver	2 , 1	gpt-4
Noun	hatband	inappropriateness	pleaser	playsuit	hatband	inappropriateness	0 , 1	gpt-4
Noun	reminiscences	waterfowl	bluebonnet	biodiversity	bluebonnet	biodiversity	2 , 3	gpt-4
Noun	latecomer	dissection	grapefruit	inequity	dissection	latecomer	1 , 0	gpt-4
Noun	professorship	reconnection	boxcar	peculiarity	boxcar	reconnection	2 , 1	gpt-4
Noun	pounding	philanthropist	enlistment	rollout	philanthropist	enlistment	1 , 2	gpt-4
Noun	tatters	announcer	blizzard	blaze	blizzard	tatters	2 , 0	gpt-4
Noun	disguiser	businesswoman	diagnostics	lightbulb	businesswoman	diagnostics	1 , 2	gpt-4
Noun	stickers	carpeting	region	handlebar	handlebar	region	3 , 2	gpt-4
Noun	mortuary	irritability	easement	footboard	footboard	irritability	3 , 1	gpt-4
Noun	cannabis	proximity	employer	subscription	cannabis	proximity	0 , 1	gpt-4
Noun	parolee	respondent	nanosecond	orphan	nanosecond	respondent	2 , 1	gpt-4
Noun	pancreas	torpedo	siege	huntress	pancreas	siege	0 , 2	gpt-4
Noun	paddleball	novelty	requirement	pianist	paddleball	novelty	0 , 1	gpt-4
Noun	regimen	formation	smelting	depot	smelting	formation	2 , 1	gpt-4
Noun	wildlife	profit	golfing	scouts	golfing	wildlife	2 , 0	gpt-4
Noun	comprehensiveness	washday	epilogue	majorette	washday	comprehensiveness	1 , 0	gpt-4
Noun	aesthetics	whirlybird	fibula	distinctiveness	whirlybird	aesthetics	1 , 0	gpt-4
Noun	locator	buckeye	individuality	bookkeeping	buckeye	individuality	1 , 2	gpt-4
Noun	electrolysis	people	sentencing	millennium	electrolysis	people	0 , 1	gpt-4
Noun	rerecord	position	windsurfing	repute	windsurfing	position	2 , 1	gpt-4
Noun	grimace	entryway	eyepiece	steamboat	eyepiece	entryway	2 , 1	gpt-4
Noun	astrologer	bristle	tyke	divination	bristle	divination	1 , 3	gpt-4
Noun	watercress	buster	shadow	telescope	watercress	shadow	0 , 2	gpt-4
Noun	uncle	enamel	asylum	weenie	weenie	asylum	3 , 2	gpt-4
Noun	floor	giblets	girlie	storminess	giblets	floor	1 , 0	gpt-4
Noun	leftist	encounter	discretion	pan	leftist	encounter	0 , 1	gpt-4
Noun	icing	paneling	pipsqueak	consequence	pipsqueak	consequence	2 , 3	gpt-4
Noun	mango	vulgarity	ghostwrite	dunce	ghostwrite	vulgarity	2 , 1	gpt-4
Noun	irony	psychoanalysis	midseason	contraction	psychoanalysis	irony	1 , 0	gpt-4
Noun	crockery	pegboard	mediocrity	sleuth	sleuth	mediocrity	3 , 2	gpt-4
Noun	mineralogy	congress	bootleg	fiberglass	bootleg	congress	2 , 1	gpt-4
Noun	axle	disinterestedness	defection	psychopath	psychopath	axle	3 , 0	gpt-4
Noun	knickknack	recollection	typhoon	escapee	typhoon	recollection	2 , 1	gpt-4
Noun	syllabus	melancholia	cosmopolitan	perjury	melancholia	syllabus	1 , 0	gpt-4
Noun	maraschino	shepherdess	footwork	tofu	shepherdess	footwork	1 , 2	gpt-4
Noun	enfranchisement	analyst	cocaine	whiney	cocaine	enfranchisement	2 , 0	gpt-4
Noun	repressor	fluctuation	skateboarder	accord	skateboarder	fluctuation	2 , 1	gpt-4
Noun	ventriloquist	persistence	progression	congestion	ventriloquist	progression	0 , 2	gpt-4
Noun	guacamole	dumbwaiter	chauvinism	volt	guacamole	volt	0 , 3	gpt-4
Noun	poodle	booby	underclothes	hypotension	poodle	underclothes	0 , 2	gpt-4
Noun	cybersex	wasteland	sparks	osmosis	cybersex	wasteland	0 , 1	gpt-4
Noun	labor	digitization	livery	correspondent	digitization	labor	1 , 0	gpt-4
Noun	malevolence	housemaster	characteristic	parade	housemaster	characteristic	1 , 2	gpt-4
Noun	effectiveness	gigolo	coyote	booking	coyote	effectiveness	2 , 0	gpt-4
Noun	indisposition	sales	shit	bedbug	bedbug	shit	3 , 2	gpt-4
Noun	frequency	chimp	ventriloquism	booze	ventriloquism	frequency	2 , 0	gpt-4
Noun	sewer	syndrome	engorgement	patron	engorgement	sewer	2 , 0	gpt-4
Noun	consignor	soprano	unbutton	sniper	sniper	consignor	3 , 0	gpt-4
Noun	tunic	junkman	dramatics	hemisphere	junkman	hemisphere	1 , 3	gpt-4
Noun	extrusion	panorama	cottage	waistline	extrusion	panorama	0 , 1	gpt-4
Noun	manpower	largemouth	neutralizer	graciousness	largemouth	manpower	1 , 0	gpt-4
Noun	culture	honeycomb	legislation	sweetener	honeycomb	culture	1 , 0	gpt-4
Noun	master	vase	townsfolk	priority	vase	priority	1 , 3	gpt-4
Noun	lewdness	psychics	rayon	hairdryer	hairdryer	lewdness	3 , 0	gpt-4
Noun	beautification	childbearing	watershed	stranglehold	stranglehold	beautification	3 , 0	gpt-4
Noun	mismatch	acrobat	annexation	evening	acrobat	mismatch	1 , 0	gpt-4
Noun	plurality	stationery	lug	arrest	stationery	plurality	1 , 0	gpt-4
Noun	rock	abundance	techie	civilization	techie	abundance	2 , 1	gpt-4
