word	specificity
curious	-0.237
wise	-0.237
bored	-0.237
reserved	-0.237
insect	-0.237
inferior	-0.237
sick	-0.250
honest	-0.250
menace	-0.250
delight	-0.250
hate	-0.253
panic	-0.254
excellence	-0.259
restaurant	-0.259
music	-0.259
watch	-0.259
lust	-0.260
thankful	-0.263
stench	-0.263
plant	-0.263
greed	-0.268
moody	-0.269
jealousy	-0.270
song	-0.272
infatuation	-0.272
paradise	-0.274
honor	-0.275
legend	-0.275
optimism	-0.275
capable	-0.275
vanity	-0.278
hopeful	-0.278
tragedy	-0.278
identity	-0.284
silly	-0.287
idol	-0.287
bland	-0.287
cute	-0.287
ugly	-0.287
lively	-0.287
garbage	-0.288
unit	-0.288
family	-0.288
fall	-0.288
penalty	-0.288
alert	-0.291
romantic	-0.291
indifferent	-0.291
modest	-0.300
melody	-0.300
profit	-0.300
terrific	-0.300
fight	-0.300
patient	-0.300
truth	-0.300
famous	-0.300
grief	-0.300
filth	-0.301
couple	-0.301
taste	-0.301
spring	-0.303
board	-0.304
rough	-0.304
pity	-0.306
annoy	-0.308
war	-0.308
disaster	-0.311
god	-0.311
gloom	-0.312
confident	-0.312
charm	-0.312
rock	-0.312
humor	-0.315
beverage	-0.315
dazzle	-0.315
quick	-0.316
liberty	-0.317
machine	-0.318
wit	-0.319
appliance	-0.320
voyage	-0.321
passage	-0.321
excuse	-0.321
untroubled	-0.325
thoughtful	-0.325
agony	-0.325
glamour	-0.325
glory	-0.325
offend	-0.329
terrible	-0.329
agreement	-0.329
useless	-0.329
infection	-0.333
insult	-0.333
sad	-0.338
loser	-0.338
bright	-0.338
lucky	-0.338
dreary	-0.338
mutation	-0.339
home	-0.346
disturb	-0.346
mad	-0.346
ocean	-0.347
obsession	-0.348
time	-0.348
easygoing	-0.350
dirty	-0.350
moral	-0.350
party	-0.350
young	-0.350
sin	-0.354
safe	-0.354
people	-0.356
city	-0.358
lump	-0.358
hell	-0.361
gentle	-0.362
trauma	-0.362
pet	-0.365
vacation	-0.366
trust	-0.367
fear	-0.370
hide	-0.373
person	-0.375
warmth	-0.375
tool	-0.375
poverty	-0.380
fabric	-0.383
garment	-0.383
fragrance	-0.384
leisurely	-0.385
horror	-0.388
weapon	-0.388
pride	-0.388
pressure	-0.392
habit	-0.392
lie	-0.395
ambition	-0.395
loneliness	-0.397
nuisance	-0.397
activate	-0.400
building	-0.400
rescue	-0.400
gender	-0.402
justice	-0.405
messy	-0.405
trash	-0.411
treasure	-0.411
powerful	-0.412
happy	-0.412
mighty	-0.412
serious	-0.412
ecstasy	-0.413
depression	-0.417
lost	-0.418
crisis	-0.424
fault	-0.425
beast	-0.425
stress	-0.425
allergy	-0.425
satisfied	-0.425
hardship	-0.425
pretty	-0.425
utensil	-0.425
refreshment	-0.427
pest	-0.431
employment	-0.431
kind	-0.436
medicine	-0.438
perfection	-0.438
punishment	-0.446
mischief	-0.446
loved	-0.450
strong	-0.450
present	-0.452
improve	-0.453
inspire	-0.455
travel	-0.456
hurt	-0.456
slow	-0.456
promotion	-0.457
game	-0.457
fame	-0.463
failure	-0.463
unhappy	-0.463
comedy	-0.463
dark	-0.463
virtue	-0.463
mind	-0.463
illness	-0.466
noisy	-0.468
wish	-0.473
outdoors	-0.475
adult	-0.475
ache	-0.475
ignorance	-0.475
fascinate	-0.480
hard	-0.481
abuse	-0.481
beauty	-0.486
exercise	-0.488
talent	-0.493
cuisine	-0.494
destruction	-0.500
kindness	-0.500
errand	-0.506
health	-0.506
riches	-0.506
joy	-0.506
treat	-0.507
peace	-0.508
respect	-0.512
injury	-0.514
affection	-0.519
alive	-0.519
nonsense	-0.525
save	-0.526
detail	-0.532
gossip	-0.532
hope	-0.537
mobility	-0.537
memory	-0.537
spirit	-0.537
spray	-0.543
discomfort	-0.544
incentive	-0.544
success	-0.548
prestige	-0.550
waste	-0.550
useful	-0.550
favor	-0.550
dream	-0.554
pain	-0.554
desire	-0.554
danger	-0.562
acceptance	-0.562
odd	-0.562
friendly	-0.562
reward	-0.567
gift	-0.568
sickness	-0.570
vision	-0.573
chaos	-0.575
miracle	-0.575
method	-0.575
soft	-0.575
wonder	-0.575
luxury	-0.576
space	-0.580
clothing	-0.588
world	-0.588
news	-0.589
color	-0.589
advantage	-0.589
imagine	-0.590
manner	-0.591
answer	-0.593
progress	-0.595
fantasy	-0.600
plain	-0.603
comfort	-0.605
vehicle	-0.608
accident	-0.611
phase	-0.613
freedom	-0.613
damage	-0.613
industry	-0.613
crime	-0.613
life	-0.616
moment	-0.617
passion	-0.620
memories	-0.620
body	-0.622
trouble	-0.633
tune	-0.633
part	-0.635
art	-0.637
mistake	-0.637
opinion	-0.642
achievement	-0.644
education	-0.649
free	-0.650
love	-0.650
excitement	-0.658
learn	-0.658
adventure	-0.659
power	-0.662
abundance	-0.662
nature	-0.671
sentiment	-0.675
name	-0.675
theory	-0.688
contents	-0.688
chance	-0.688
pleasure	-0.688
natural	-0.696
context	-0.700
enjoyment	-0.712
social	-0.718
easy	-0.722
material	-0.725
thought	-0.738
custom	-0.738
food	-0.740
event	-0.756
quality	-0.757
interest	-0.762
fun	-0.769
nice	-0.772
good	-0.772
option	-0.775
history	-0.778
idea	-0.827
item	-0.877
knowledge	-0.973
