word	specificity
lawsuit	0.5
rattle	0.5
glacier	0.5
pollute	0.5
shamed	0.5
diamond	0.5
salute	0.5
slush	0.5
madman	0.5
kettle	0.5
bride	0.5
spouse	0.5
virgin	0.5
swimmer	0.5
graduate	0.5
ace	0.5
tobacco	0.5
shriek	0.5
venom	0.5
cabinet	0.5
embarrassed	0.5
regretful	0.5
decorate	0.5
anxious	0.5
scholar	0.5
mushroom	0.5
prick	0.5
hug	0.5
zest	0.5
busybody	0.5
pus	0.5
mosquito	0.5
abduction	0.5
caress	0.5
sheltered	0.5
haphazard	0.5
insolent	0.5
flabby	0.5
avalanche	0.5
broken	0.5
dentist	0.5
mangle	0.5
finger	0.5
headlight	0.5
germs	0.5
priest	0.5
erotic	0.5
blackmail	0.5
wasp	0.5
hydrant	0.5
champ	0.5
nectar	0.375
grenade	0.375
skull	0.375
manure	0.375
icebox	0.375
cake	0.375
fatigued	0.375
triumphant	0.375
restaurant	0.375
song	0.375
engaged	0.375
tidy	0.375
thoughtful	0.375
absurd	0.375
timid	0.375
candy	0.375
hat	0.375
locker	0.375
sunlight	0.375
humiliate	0.375
morbid	0.375
anguished	0.375
sunrise	0.375
diploma	0.375
spider	0.375
dollar	0.375
bath	0.375
lion	0.375
nursery	0.375
stove	0.375
insane	0.375
decompose	0.375
insecure	0.375
quart	0.375
scapegoat	0.375
cellar	0.375
birthday	0.375
corpse	0.375
hooker	0.375
bereavement	0.375
drown	0.375
fork	0.375
arrogant	0.375
ankle	0.375
funeral	0.375
melody	0.375
poster	0.375
stagnant	0.375
tomb	0.375
pistol	0.375
millionaire	0.375
owl	0.375
wagon	0.375
statue	0.375
cork	0.375
distressed	0.375
sugar	0.375
luscious	0.375
sissy	0.375
cyclone	0.375
rabbit	0.375
elbow	0.375
cottage	0.375
nun	0.375
pencil	0.25
dancer	0.25
bastard	0.25
hospital	0.25
chin	0.25
kerchief	0.25
bloody	0.25
bathroom	0.25
shark	0.25
crown	0.25
lavish	0.25
sour	0.25
aroused	0.25
cannon	0.25
cuisine	0.25
jail	0.25
coin	0.25
reverent	0.25
detest	0.25
concentrate	0.25
clock	0.25
allergy	0.25
window	0.25
circus	0.25
cuddle	0.25
frigid	0.25
kiss	0.25
cell	0.25
mold	0.25
mucus	0.25
butter	0.25
outstanding	0.25
troubled	0.25
knife	0.25
bankrupt	0.25
applause	0.25
alley	0.25
silk	0.25
bathtub	0.25
ambulance	0.25
cane	0.25
repentant	0.25
vomit	0.25
egg	0.25
fungus	0.25
breast	0.25
puppy	0.25
brutal	0.25
devil	0.25
lake	0.25
nonchalant	0.25
wine	0.25
frog	0.25
baby	0.25
storm	0.25
hay	0.25
blister	0.25
blind	0.25
consoled	0.25
blase	0.25
museum	0.25
doll	0.25
elated	0.25
tune	0.25
wedding	0.25
lantern	0.25
pillow	0.25
grin	0.125
tree	0.125
bees	0.125
controlling	0.125
runner	0.125
corrupt	0.125
jelly	0.125
fragrance	0.125
tower	0.125
blubber	0.125
computer	0.125
urine	0.125
thief	0.125
dirt	0.125
selfish	0.125
honey	0.125
joke	0.125
palace	0.125
rat	0.125
dead	0.125
truck	0.125
writer	0.125
autumn	0.125
hell	0.125
angel	0.125
lightning	0.125
bus	0.125
dog	0.125
hungry	0.125
curtains	0.125
bowl	0.125
addict	0.125
elevator	0.125
dove	0.125
diver	0.125
girl	0.125
quarrel	0.125
stink	0.125
fish	0.125
crash	0.125
rain	0.125
grass	0.125
killer	0.125
cord	0.125
trauma	0.125
lamb	0.125
journal	0.125
prairie	0.125
blasphemy	0.125
rejected	0.125
lamp	0.125
mischief	0.125
hammer	0.125
tamper	0.125
saint	0.125
scar	0.125
festive	0.125
obsession	0.125
torture	0.125
slave	0.125
helpless	0.125
rape	0.125
mantel	0.125
kitten	0.125
contempt	0.125
reserved	0.125
adorable	0.125
hotel	0.125
casino	0.125
hawk	0.125
muscular	0.125
crutch	0.125
ennui	0.125
ship	0.125
river	0.125
slum	0.125
disdainful	0.125
demon	0.125
romantic	0.125
robber	0.125
nude	0.125
butterfly	0.125
slap	0.125
plane	0.125
star	0.125
cook	0.125
teacher	0.125
king	0.125
building	0.125
carefree	0.125
jug	0.125
skeptical	0.125
hatred	0.125
avenue	0.125
horror	0.0
umbrella	0.0
gun	0.0
sexy	0.0
cemetery	0.0
scream	0.0
detached	0.0
scared	0.0
irritate	0.0
bottle	0.0
heart	0.0
cliff	0.0
lonely	0.0
riot	0.0
handsome	0.0
lawn	0.0
insult	0.0
victory	0.0
dreary	0.0
street	0.0
boy	0.0
father	0.0
bliss	0.0
paradise	0.0
wicked	0.0
twilight	0.0
errand	0.0
savior	0.0
intercourse	0.0
snake	0.0
beach	0.0
gossip	0.0
taxi	0.0
cheer	0.0
vandal	0.0
soothe	0.0
humble	0.0
square	0.0
tease	0.0
reunion	0.0
fraud	0.0
foul	0.0
barrel	0.0
obscene	0.0
intimate	0.0
excellence	0.0
magical	0.0
cow	0.0
dress	0.0
queen	0.0
dawn	0.0
sunset	0.0
mystic	0.0
bar	0.0
engine	0.0
stomach	0.0
scorn	0.0
loneliness	0.0
messy	0.0
clumsy	0.0
tank	0.0
fever	0.0
tragedy	0.0
wit	0.0
betray	0.0
impressed	0.0
sinful	0.0
milk	0.0
scornful	0.0
mountain	0.0
feeble	0.0
scum	0.0
pie	0.0
confused	0.0
suspicious	0.0
discouraged	0.0
alone	0.0
pig	0.0
whistle	0.0
champion	0.0
nourish	0.0
assault	0.0
mail	0.0
ink	0.0
daylight	0.0
divorce	0.0
grateful	0.0
corridor	0.0
disappoint	0.0
bench	0.0
flag	0.0
defiant	0.0
swamp	0.0
vest	0.0
cat	0.0
gripe	0.0
key	0.0
vanity	0.0
scandal	0.0
obnoxious	0.0
delayed	0.0
whore	0.0
stool	0.0
rigid	0.0
radiant	-0.125
ambition	-0.125
resent	-0.125
car	-0.125
patriot	-0.125
violent	-0.125
garden	-0.125
respectful	-0.125
chair	-0.125
wife	-0.125
stench	-0.125
village	-0.125
banner	-0.125
hostile	-0.125
salad	-0.125
blue	-0.125
ecstasy	-0.125
vigorous	-0.125
paint	-0.125
basket	-0.125
coast	-0.125
cold	-0.125
rescue	-0.125
despise	-0.125
obesity	-0.125
stress	-0.125
cash	-0.125
filth	-0.125
table	-0.125
bland	-0.125
offend	-0.125
trunk	-0.125
innocent	-0.125
impair	-0.125
optimism	-0.125
flower	-0.125
shy	-0.125
dazzle	-0.125
limber	-0.125
stupid	-0.125
swift	-0.125
lump	-0.125
snow	-0.125
dummy	-0.125
reward	-0.125
iron	-0.125
achievement	-0.125
highway	-0.125
bright	-0.125
coarse	-0.125
greed	-0.125
black	-0.125
green	-0.125
glory	-0.125
malice	-0.125
office	-0.125
panic	-0.125
subdued	-0.125
proud	-0.125
excuse	-0.125
naked	-0.125
thankful	-0.125
dignified	-0.125
invest	-0.125
smooth	-0.125
slime	-0.125
sun	-0.125
profit	-0.125
revolt	-0.125
hinder	-0.125
kids	-0.125
noisy	-0.125
idiot	-0.125
aloof	-0.125
deceit	-0.125
kick	-0.125
vacation	-0.125
mother	-0.125
door	-0.125
joyful	-0.125
jolly	-0.125
hide	-0.125
menace	-0.125
bird	-0.125
severe	-0.125
immature	-0.125
cruel	-0.125
politeness	-0.125
horse	-0.125
lottery	-0.125
prison	-0.125
bless	-0.125
satisfied	-0.125
farm	-0.125
loser	-0.125
brother	-0.125
corner	-0.125
devoted	-0.125
leader	-0.125
terrific	-0.125
misery	-0.125
penalty	-0.125
pest	-0.125
defeated	-0.125
brave	-0.125
stiff	-0.125
bored	-0.125
arm	-0.125
dinner	-0.125
church	-0.125
flood	-0.125
idol	-0.125
cozy	-0.125
dump	-0.125
outrage	-0.125
miracle	-0.125
insect	-0.25
guilty	-0.25
column	-0.25
peace	-0.25
untroubled	-0.25
movie	-0.25
triumph	-0.25
laughter	-0.25
youth	-0.25
agreement	-0.25
radio	-0.25
holiday	-0.25
rage	-0.25
cut	-0.25
awed	-0.25
ache	-0.25
wealthy	-0.25
easygoing	-0.25
agony	-0.25
clouds	-0.25
illness	-0.25
treat	-0.25
infection	-0.25
serious	-0.25
merry	-0.25
meek	-0.25
weary	-0.25
glamour	-0.25
punishment	-0.25
safe	-0.25
talent	-0.25
foot	-0.25
elegant	-0.25
fur	-0.25
bed	-0.25
breeze	-0.25
handicap	-0.25
trash	-0.25
treasure	-0.25
delight	-0.25
party	-0.25
gold	-0.25
answer	-0.25
upset	-0.25
greet	-0.25
snob	-0.25
garbage	-0.25
useless	-0.25
agility	-0.25
nasty	-0.25
fire	-0.25
comedy	-0.25
modest	-0.25
loyal	-0.25
seat	-0.25
promotion	-0.25
wise	-0.25
shadow	-0.25
soft	-0.25
jealousy	-0.25
annoy	-0.25
quiet	-0.25
perfection	-0.25
eat	-0.25
incentive	-0.25
medicine	-0.25
win	-0.25
sad	-0.25
terrible	-0.25
debt	-0.25
refreshment	-0.25
legend	-0.25
month	-0.25
lust	-0.25
glass	-0.25
patient	-0.25
odd	-0.25
fascinate	-0.25
army	-0.25
leisurely	-0.25
foam	-0.25
yellow	-0.25
reptile	-0.25
neglect	-0.25
dreadful	-0.25
kindness	-0.25
music	-0.25
admired	-0.25
obey	-0.25
mistake	-0.375
honor	-0.375
metal	-0.375
burn	-0.375
quick	-0.375
lie	-0.375
adventure	-0.375
poverty	-0.375
hardship	-0.375
anger	-0.375
privacy	-0.375
lively	-0.375
heaven	-0.375
thrill	-0.375
earth	-0.375
couple	-0.375
confident	-0.375
toy	-0.375
humor	-0.375
moment	-0.375
humane	-0.375
voyage	-0.375
gloom	-0.375
hand	-0.375
house	-0.375
grime	-0.375
poetry	-0.375
surprised	-0.375
secure	-0.375
pet	-0.375
unhappy	-0.375
fault	-0.375
sex	-0.375
woman	-0.375
failure	-0.375
letter	-0.375
aggressive	-0.375
lazy	-0.375
fat	-0.375
lost	-0.375
money	-0.375
ocean	-0.375
exercise	-0.375
spring	-0.375
intellect	-0.375
sleep	-0.375
crude	-0.375
rude	-0.375
pity	-0.375
sin	-0.375
dirty	-0.375
nervous	-0.375
face	-0.375
red	-0.375
memory	-0.375
passion	-0.375
slow	-0.375
angry	-0.375
home	-0.375
plant	-0.375
wish	-0.375
masterful	-0.5
gentle	-0.5
disaster	-0.5
curious	-0.5
charm	-0.5
riches	-0.5
bold	-0.5
taste	-0.5
listless	-0.5
tool	-0.5
powerful	-0.5
fantasy	-0.5
fabric	-0.5
hopeful	-0.5
famous	-0.5
acceptance	-0.5
false	-0.5
pretty	-0.5
market	-0.5
indifferent	-0.5
destroy	-0.5
pleasure	-0.5
appliance	-0.5
prestige	-0.5
tender	-0.5
hit	-0.5
protected	-0.5
relaxed	-0.5
joy	-0.5
passage	-0.5
garment	-0.5
fearful	-0.5
comfort	-0.5
child	-0.5
victim	-0.5
hurt	-0.5
immoral	-0.5
luxury	-0.5
truth	-0.5
athletics	-0.5
spray	-0.5
inspire	-0.5
liberty	-0.5
alert	-0.5
affection	-0.5
jewel	-0.5
injury	-0.5
inhabitant	-0.5
pride	-0.5
water	-0.5
beverage	-0.5
death	-0.5
machine	-0.5
city	-0.5
book	-0.5
wonder	-0.5
depression	-0.5
honest	-0.5
lucky	-0.5
silly	-0.5
sick	-0.5
heal	-0.5
inspired	-0.5
circle	-0.5
afraid	-0.5
displeased	-0.5
board	-0.5
disturb	-0.5
happy	-0.5
pain	-0.5
danger	-0.5
pressure	-0.5
gender	-0.625
spirit	-0.625
destruction	-0.625
utensil	-0.625
invader	-0.625
crisis	-0.625
friendly	-0.625
abuse	-0.625
tense	-0.625
improve	-0.625
discomfort	-0.625
young	-0.625
beast	-0.625
evil	-0.625
easy	-0.625
news	-0.625
paper	-0.625
enjoyment	-0.625
strong	-0.625
fight	-0.625
mighty	-0.625
ugly	-0.625
sickness	-0.625
fall	-0.625
moody	-0.625
trust	-0.625
dark	-0.625
man	-0.625
success	-0.625
moral	-0.625
burdened	-0.625
name	-0.625
habit	-0.625
useful	-0.625
accident	-0.625
plain	-0.625
identity	-0.625
rough	-0.625
crime	-0.625
field	-0.625
hope	-0.625
fame	-0.625
cute	-0.625
weapon	-0.625
friend	-0.625
fear	-0.625
ignorance	-0.625
present	-0.625
sphere	-0.625
gift	-0.75
memories	-0.75
employment	-0.75
beautiful	-0.75
nuisance	-0.75
game	-0.75
justice	-0.75
thought	-0.75
method	-0.75
white	-0.75
damage	-0.75
excitement	-0.75
health	-0.75
custom	-0.75
adult	-0.75
hard	-0.75
save	-0.75
contents	-0.75
learn	-0.75
phase	-0.75
favor	-0.75
warmth	-0.75
loved	-0.75
hate	-0.75
progress	-0.75
advantage	-0.75
waste	-0.75
nonsense	-0.75
war	-0.75
kind	-0.75
inferior	-0.75
context	-0.75
free	-0.75
watch	-0.75
fun	-0.75
mad	-0.75
activate	-0.75
food	-0.75
outdoors	-0.75
dream	-0.75
family	-0.75
color	-0.75
interest	-0.75
mind	-0.75
grief	-0.75
industry	-0.75
god	-0.75
option	-0.875
chaos	-0.875
unit	-0.875
part	-0.875
power	-0.875
opinion	-0.875
nice	-0.875
theory	-0.875
space	-0.875
freedom	-0.875
imagine	-0.875
travel	-0.875
clothing	-0.875
vision	-0.875
vehicle	-0.875
idea	-0.875
people	-0.875
virtue	-0.875
chance	-0.875
sky	-0.875
nature	-0.875
life	-0.875
respect	-0.875
manner	-0.875
abundance	-0.875
person	-0.875
social	-1.0
beauty	-1.0
art	-1.0
material	-1.0
love	-1.0
history	-1.0
mobility	-1.0
knowledge	-1.0
alive	-1.0
rock	-1.0
good	-1.0
time	-1.0
trouble	-1.0
capable	-1.0
quality	-1.0
desire	-1.0
world	-1.0
natural	-1.0
event	-1.0
body	-1.0
sentiment	-1.0
education	-1.0
air	-1.0
item	-1.0
